year,climate_change,ocean_acidification,ozone_depletion,atmospheric_aerosol,biogeochimical_phosphore,biogeochimical_nitrogen,blue_water,green_water,land_use,genetic_diversity,fonctional_diversity,novel_entities
1896.0,294.53009174311927,3.413811376,289.568,0.042231213872832365,0.92,0.0,10.069090909090908,9.8,100.0,27.32369942196532,9.717352415026834,0.46
1897.0,294.8459633027523,3.412406532,289.676,0.042497109826589594,0.9400000000000001,0.0,10.083636363636362,9.8,100.0,27.895953757225435,9.881932021466906,0.47000000000000003
1898.0,295.1618348623853,3.4110016880000003,289.784,0.04276300578034682,0.96,0.0,10.098181818181818,9.8,100.0,28.468208092485547,10.046511627906977,0.48
1899.0,295.47770642201834,3.409596844,289.892,0.04302890173410404,0.98,0.0,10.112727272727271,9.8,100.0,29.040462427745663,10.211091234347048,0.49
1900.0,295.79357798165137,3.408192,290.0,0.04329479768786127,1.0,0.0,10.127272727272727,9.8,100.0,29.61271676300578,10.37567084078712,0.5
1901.0,296.1094495412844,3.406235021,290.0285714285714,0.04356069364161849,1.05,0.1,10.14181818181818,9.844827586206897,99.52857142857142,30.184971098265894,10.54025044722719,0.51
1902.0,296.4253211009174,3.404278042,290.0571428571429,0.04382658959537572,1.1,0.2,10.156363636363636,9.889655172413793,99.05714285714286,30.75722543352601,10.704830053667262,0.52
1903.0,296.74119266055044,3.402321063,290.0857142857143,0.04409248554913295,1.15,0.30000000000000004,10.17090909090909,9.93448275862069,98.58571428571429,31.329479768786126,10.869409660107333,0.53
1904.0,297.0570642201835,3.400364084,290.1142857142857,0.04435838150289017,1.2,0.4,10.185454545454546,9.979310344827587,98.11428571428571,31.90173410404624,11.033989266547408,0.54
1905.0,297.37293577981654,3.398407105,290.14285714285717,0.0446242774566474,1.25,0.5,10.2,10.024137931034483,97.64285714285714,32.47398843930635,11.19856887298748,0.55
1906.0,297.68880733944957,3.396450126,290.1714285714286,0.04489017341040462,1.3,0.6000000000000001,10.27142857142857,10.068965517241379,97.17142857142858,33.04624277456647,11.36314847942755,0.56
1907.0,298.0046788990826,3.394493147,290.2,0.04515606936416185,1.35,0.7000000000000001,10.342857142857142,10.113793103448277,96.7,33.61849710982659,11.527728085867622,0.5700000000000001
1908.0,298.3205504587156,3.392536168,290.22857142857146,0.045421965317919075,1.4,0.8,10.414285714285713,10.158620689655173,96.22857142857143,34.190751445086704,11.692307692307693,0.58
1909.0,298.63642201834864,3.390579189,290.25714285714287,0.0456878612716763,1.45,0.9,10.485714285714286,10.203448275862069,95.75714285714285,34.76300578034682,11.856887298747765,0.59
1910.0,298.95229357798166,3.38862221,290.2857142857143,0.045953757225433524,1.5,1.0,10.557142857142857,10.248275862068965,95.28571428571429,35.335260115606935,12.021466905187836,0.6
